L,Beta,r,G(r),g(r)
200,0.10,0,1.00,1.00
200,0.10,1,0.06,0.06
200,0.10,2,0.00,0.00
200,0.10,3,0.00,0.00
200,0.10,4,0.00,0.00
200,0.10,5,0.00,0.00
200,0.10,6,-0.00,-0.00
200,0.10,7,0.00,0.00
200,0.10,8,-0.00,-0.00
200,0.10,9,0.00,0.00
200,0.10,10,-0.00,-0.00
200,0.10,11,0.00,0.00
200,0.10,12,0.00,0.00
200,0.10,13,0.00,0.00
200,0.10,14,-0.00,-0.00
200,0.10,15,-0.00,-0.00
200,0.10,16,-0.00,-0.00
200,0.10,17,-0.00,-0.00
200,0.10,18,0.00,0.00
200,0.10,19,-0.00,-0.00
200,0.10,20,0.00,0.00
200,0.10,21,0.00,0.00
200,0.10,22,0.00,0.00
200,0.10,23,0.00,0.00
200,0.10,24,0.00,0.00
200,0.10,25,-0.00,-0.00
200,0.10,26,0.00,0.00
200,0.10,27,-0.00,-0.00
200,0.10,28,0.00,0.00
200,0.10,29,0.00,0.00
200,0.10,30,-0.00,-0.00
200,0.10,31,0.00,0.00
200,0.10,32,0.00,0.00
200,0.10,33,-0.00,-0.00
200,0.10,34,-0.00,-0.00
200,0.10,35,0.00,0.00
200,0.10,36,0.00,0.00
200,0.10,37,0.00,0.00
200,0.10,38,-0.00,-0.00
200,0.10,39,-0.00,-0.00
200,0.10,40,-0.00,-0.00
200,0.10,41,-0.00,-0.00
200,0.10,42,-0.00,-0.00
200,0.10,43,-0.00,-0.00
200,0.10,44,-0.00,-0.00
200,0.10,45,-0.00,-0.00
200,0.10,46,0.00,0.00
200,0.10,47,0.00,0.00
200,0.10,48,-0.00,-0.00
200,0.10,49,-0.00,-0.00
200,0.10,50,0.00,0.00
200,0.10,51,-0.00,-0.00
200,0.10,52,-0.00,-0.00
200,0.10,53,-0.00,-0.00
200,0.10,54,0.00,0.00
200,0.10,55,-0.00,-0.00
200,0.10,56,0.00,0.00
200,0.10,57,-0.00,-0.00
200,0.10,58,-0.00,-0.00
200,0.10,59,0.00,0.00
200,0.10,60,-0.00,-0.00
200,0.10,61,0.00,0.00
200,0.10,62,-0.00,-0.00
200,0.10,63,-0.00,-0.00
200,0.10,64,0.00,0.00
200,0.10,65,-0.00,-0.00
200,0.10,66,0.00,0.00
200,0.10,67,-0.00,-0.00
200,0.10,68,-0.00,-0.00
200,0.10,69,0.00,0.00
200,0.10,70,-0.00,-0.00
200,0.10,71,-0.00,-0.00
200,0.10,72,-0.00,-0.00
200,0.10,73,0.00,0.00
200,0.10,74,0.00,0.00
200,0.10,75,0.00,0.00
200,0.10,76,0.00,0.00
200,0.10,77,0.00,0.00
200,0.10,78,0.00,0.00
200,0.10,79,-0.00,-0.00
200,0.10,80,0.00,0.00
200,0.10,81,-0.00,-0.00
200,0.10,82,0.00,0.00
200,0.10,83,0.00,0.00
200,0.10,84,-0.00,-0.00
200,0.10,85,-0.00,-0.00
200,0.10,86,0.00,0.00
200,0.10,87,-0.00,-0.00
200,0.10,88,0.00,0.00
200,0.10,89,-0.00,-0.00
200,0.10,90,-0.00,-0.00
200,0.10,91,0.00,0.00
200,0.10,92,-0.00,-0.00
200,0.10,93,-0.00,-0.00
200,0.10,94,-0.00,-0.00
200,0.10,95,0.00,0.00
200,0.10,96,0.00,0.00
200,0.10,97,0.00,0.00
200,0.10,98,-0.00,-0.00
200,0.10,99,0.00,0.00
200,0.10,100,0.00,0.00
200,0.20,0,1.00,1.00
200,0.20,1,0.15,0.15
200,0.20,2,0.04,0.04
200,0.20,3,0.01,0.01
200,0.20,4,0.00,0.00
200,0.20,5,0.00,0.00
200,0.20,6,0.00,0.00
200,0.20,7,-0.00,-0.00
200,0.20,8,-0.00,-0.00
200,0.20,9,0.00,0.00
200,0.20,10,0.00,0.00
200,0.20,11,-0.00,-0.00
200,0.20,12,-0.00,-0.00
200,0.20,13,-0.00,-0.00
200,0.20,14,-0.00,-0.00
200,0.20,15,-0.00,-0.00
200,0.20,16,-0.00,-0.00
200,0.20,17,-0.00,-0.00
200,0.20,18,-0.00,-0.00
200,0.20,19,-0.00,-0.00
200,0.20,20,-0.00,-0.00
200,0.20,21,0.00,0.00
200,0.20,22,0.00,0.00
200,0.20,23,0.00,0.00
200,0.20,24,0.00,0.00
200,0.20,25,0.00,0.00
200,0.20,26,0.00,0.00
200,0.20,27,0.00,0.00
200,0.20,28,0.00,0.00
200,0.20,29,0.00,0.00
200,0.20,30,0.00,0.00
200,0.20,31,0.00,-0.00
200,0.20,32,0.00,0.00
200,0.20,33,0.00,0.00
200,0.20,34,-0.00,-0.00
200,0.20,35,-0.00,-0.00
200,0.20,36,0.00,0.00
200,0.20,37,0.00,0.00
200,0.20,38,-0.00,-0.00
200,0.20,39,0.00,0.00
200,0.20,40,0.00,-0.00
200,0.20,41,0.00,-0.00
200,0.20,42,0.00,0.00
200,0.20,43,0.00,0.00
200,0.20,44,0.00,0.00
200,0.20,45,-0.00,-0.00
200,0.20,46,-0.00,-0.00
200,0.20,47,-0.00,-0.00
200,0.20,48,0.00,0.00
200,0.20,49,-0.00,-0.00
200,0.20,50,-0.00,-0.00
200,0.20,51,-0.00,-0.00
200,0.20,52,0.00,0.00
200,0.20,53,0.00,0.00
200,0.20,54,-0.00,-0.00
200,0.20,55,0.00,0.00
200,0.20,56,0.00,0.00
200,0.20,57,-0.00,-0.00
200,0.20,58,-0.00,-0.00
200,0.20,59,-0.00,-0.00
200,0.20,60,-0.00,-0.00
200,0.20,61,0.00,-0.00
200,0.20,62,0.00,-0.00
200,0.20,63,0.00,0.00
200,0.20,64,0.00,0.00
200,0.20,65,0.00,0.00
200,0.20,66,0.00,0.00
200,0.20,67,0.00,0.00
200,0.20,68,0.00,0.00
200,0.20,69,0.00,0.00
200,0.20,70,-0.00,-0.00
200,0.20,71,-0.00,-0.00
200,0.20,72,0.00,0.00
200,0.20,73,0.00,0.00
200,0.20,74,0.00,0.00
200,0.20,75,0.00,0.00
